name,precip,lat,lng
"Atlanta, Georgia",49.7,33.7489954,-84.3879824
"Austin, Texas",34.2,30.267153,-97.7430608
"Baltimore, Maryland",41.9,39.2903848,-76.6121893
"Birmingham, Alabama",53.7,33.5206608,-86.80249
"Boston, Massachusetts",43.8,42.3600825,-71.0588801
"Buffalo, New York",40.5,42.8864468,-78.8783689
"Charlotte, North Carolina",41.6,35.2270869,-80.8431267
"Chicago, Illinois",36.9,41.8781136,-87.6297982
"Cincinnati, Ohio",41.9,39.1031182,-84.5120196
"Cleveland, Ohio",39.1,41.49932,-81.6943605
"Columbus, Ohio",39.3,39.9611755,-82.9987942
"Dallas, Texas",37.6,32.7766642,-96.7969879
"Denver, Colorado",15.6,39.7392358,-104.990251
"Detroit, Michigan",33.5,42.331427,-83.0457538
"Hartford, Connecticut",45.9,41.7658,-72.6734
"Houston, Texas",49.8,29.7604267,-95.3698028
"Indianapolis, Indiana",42.4,39.768403,-86.158068
"Jacksonville, Florida",52.4,30.3321838,-81.655651
"Kansas City, Missouri",39.1,39.0997265,-94.5785667
"Las Vegas, Nevada",4.2,36.1699412,-115.1398296
"Los Angeles, California",12.8,34.0522342,-118.2436849
"Louisville, Kentucky",44.9,38.2526647,-85.7584557
"Memphis, Tennessee",53.7,35.1495343,-90.0489801
"Miami, Florida",61.9,25.7616798,-80.1917902
"Milwaukee, Wisconsin",34.8,43.0389025,-87.9064736
"Minneapolis, Minnesota",30.6,44.977753,-93.2650108
"Nashville, Tennessee",47.3,36.1626638,-86.7816016
"New Orleans, Louisiana",62.7,29.9510658,-90.0715323
"New York, New York",49.9,40.7127837,-74.0059413
"Oklahoma City, Oklahoma",36.5,35.4675602,-97.5164276
"Orlando, Florida",50.7,28.5383355,-81.3792365
"Philadelphia, Pennsylvania",41.5,39.9525839,-75.1652215
"Phoenix, Arizona",8.2,33.4483771,-112.0740373
"Pittsburgh, Pennsylvania",38.2,40.4406248,-79.9958864
"Portland, Oregon",43.5,45.5230622,-122.6764816
"Providence, Rhode Island",47.2,41.8239891,-71.4128343
"Raleigh, North Carolina",46,35.7795897,-78.6381787
"Richmond, Virginia",43.6,37.5407246,-77.4360481
"Riverside, California",10.3,33.9533487,-117.3961564
"Rochester, New York",34.3,43.16103,-77.6109219
"Sacramento, California",18.5,38.5815719,-121.4943996
"Salt Lake City, Utah",16.1,40.7607793,-111.8910474
"San Antonio, Texas",32.3,29.4241219,-98.4936282
"San Diego, California",10.3,32.715738,-117.1610838
"San Francisco, California",20.7,37.7749295,-122.4194155
"San Jose, California",15.8,37.3382082,-121.8863286
"Seattle, Washington",37.7,47.6062095,-122.3320708
"St. Louis, Missouri",41,38.6270025,-90.1994042
"Tampa, Florida",46.3,27.950575,-82.4571776
"Virginia Beach, Virginia",46.5,36.8529263,-75.977985
"Washington, DC",39.7,38.9071923,-77.0368707
